msoa11cd,house_price_median_yrto_dec_95,house_price_median_yrto_sep_21,house_price_mean_median_1995to2000,house_price_mean_median_2017to2021
E02004905,122500,857500,132210.52631578947,584131.5789473684
E02004906,69500,487000,84481.57894736843,430263.15789473685
E02004907,73000,505000,103046.57894736843,469855.2631578947
E02004908,102500,535000,126736.78947368421,545661.8421052631
E02003753,43000,230000,47859.07894736842,208644.2105263158
E02003754,58600,335050.5,70464.21052631579,307294.7894736842
E02003755,51500,269000,56023.42105263158,222828.55263157896
E02003756,50750,269000,58216.57894736842,246617.5
E02003757,60000,300000,63586.71052631579,273999.6052631579
E02003758,58500,280000,61432.36842105263,247026.31578947368
E02003759,64995,312500,78834.86842105263,300447.36842105264
E02003760,38000,190000,39662.39473684211,186554.34210526315
E02003761,76147.5,299500,77497.8947368421,275644.4736842105
E02003762,67500,330000,71691.26315789473,322789.7368421053
E02003763,50000,270000,53315.39473684211,247460.3947368421
E02003764,60000,268525,69157.63157894737,240209.2894736842
E02003765,64995,303000,74050.3947368421,297788.4210526316
E02003766,60000,280000,62781.57894736842,299099.9210526316
E02003767,80000,440000,107888.68421052632,394563.15789473685
E02003768,79950,380000,91561.84210526316,344130.9210526316
E02003769,64875,350000,83387.76315789473,310605.7368421053
E02003770,65125,325000,75756.44736842105,289603.94736842107
E02003771,54000,280000,69536.57894736843,255571.05263157896
E02003772,63000,329000,62750.39473684211,297971.05263157893
E02003773,46500,245000,48926.05263157895,235341.97368421053
E02003774,49999,273000,57164.15789473684,263552.5
E02006245,50500,237500,56670.92105263158,220052.63157894736
E02006246,50500,262500,56618.02631578947,239618.42105263157
E02006247,38250,190000,43465.78947368421,177965
E02006248,50000,265000,57341.84210526316,243633.94736842104
E02006249,59995,350000,62143.94736842105,272355
E02006250,34500,175500,37346.84210526316,157078.81578947368
E02006251,36525,193500,42902.78947368421,171703.81578947368
E02006252,38217,225250,43599.18421052631,206381.44736842104
E02006253,58500,325000,67439.21052631579,288466.84210526315
E02006254,37500,186000,43775,166315.65789473685
E02006255,40000,207125,45524.73684210526,186138.15789473685
E02006256,38000,216000,39503.55263157895,163670.7894736842
E02006257,44950,210000,48864.21052631579,197947.1052631579
E02006258,44000,241250,51340.52631578947,208992.1052631579
E02006259,45000,230000,50449.60526315789,200342.1052631579
E02006260,43500,210000,47348.28947368421,192736.84210526315
E02005551,47950,282500,58112.5,259221.84210526315
E02005552,54000,446000,73323.68421052632,419060.3947368421
E02005553,44000,295000,53664.47368421053,241091.84210526315
E02005554,49000,261000,55010.52631578947,246519.73684210525
E02005555,60000,300500,67781.57894736843,271183.55263157893
E02005556,46500,217500,49411.44736842105,199371.05263157896
E02005557,28000,152000,28310.526315789473,137590.92105263157
E02005558,43000,254500,51634.34210526316,223236.31578947368
E02005559,36500,190000,40723.73684210526,168117.23684210525
E02005560,36950,184000,40431.84210526316,162197.36842105264
E02005561,32500,155000,33952.5,143419.6052631579
E02005562,53000,285000,57256.44736842105,251368.42105263157
E02005563,50247.5,276000,57587.63157894737,230757.5
E02005564,64250,277500,65906.26315789473,243244.65789473685
E02005565,41000,220000,46168.68421052631,195993.42105263157
E02005566,43500,260000,52686.18421052631,212197.2105263158
