msoa11cd,median_annual_incomeE,median_annual_incomeE_lower_bound,median_annual_incomeE_upper_bound
E02003773,46800,39300,55800
E02003774,42300,35500,50400
E02003775,56100,47000,66900
E02003776,52000,43500,62000
E02003777,55700,46700,66500
E02003778,49600,41500,59300
E02003779,59300,49300,71300
E02003780,53900,45200,64300
E02003781,58300,48700,69800
E02003783,56800,47600,68000
E02003784,58400,48900,69700
E02003785,54900,46000,65500
E02003786,55600,46500,66500
E02003787,51000,42800,60800
E02003788,59800,50100,71300
E02003789,45900,38500,54800
E02003790,51700,43300,61700
E02003791,56900,47700,67900
E02003792,53200,44600,63400
E02003793,52600,44100,62800
E02006873,67200,55900,80700
E02006874,58600,49100,69900
E02004424,63600,53100,76300
E02004425,51100,42900,61000
E02004426,53000,44400,63100
E02004427,50600,42400,60300
E02004428,41100,34500,49000
E02004429,42200,35400,50300
E02004430,51800,43400,61800
E02004431,47300,39600,56400
E02004432,50400,42300,60100
E02004433,43400,36300,51800
E02004434,39300,32900,46900
E02004435,39900,33400,47700
E02004436,33500,28100,40100
E02004437,39900,33400,47700
E02004438,35700,29800,42700
E02004439,37400,31300,44600
E02004440,40500,34000,48300
E02004441,36600,30700,43700
E02004442,35900,30000,42900
E02004443,47500,39700,56800
E02004444,55700,46500,66700
E02004445,39500,33100,47100
E02004446,47800,40000,57000
E02004447,46400,38900,55400
E02004448,44200,37100,52700
E02004449,38900,32500,46500
E02004450,46600,39100,55600
E02004451,43500,36500,51900
E02004452,45400,38100,54200
E02004453,38500,32200,46000
E02004454,42300,35400,50600
E02004455,53200,44500,63700
E02004456,41400,34700,49400
E02004457,46000,38600,54900
E02004458,53200,44600,63500
E02004459,46800,39200,55800
E02004460,44600,37300,53300
E02004461,37900,31500,45500
E02004462,42400,35500,50600
E02004463,49200,41300,58700
E02004464,51300,43000,61300
E02004465,50800,42500,60600
E02004466,47700,40000,56900
E02004467,45700,38300,54400
E02004468,65400,54500,78500
E02004469,51600,43300,61500
E02004470,49800,41500,59700
E02004471,45600,38200,54400
E02004472,54900,45900,65500
E02004473,43600,36500,52100
E02004474,44100,37000,52500
E02004475,44200,37000,52700
E02004476,50100,42000,59800
E02004477,45500,38200,54300
E02004478,38600,32300,46000
E02004479,44300,37200,52800
E02004480,41900,35100,50000
E02004481,34200,28600,40900
E02004482,35300,29500,42200
E02004483,36600,30600,43600
E02004484,35900,30100,42800
E02004485,49700,41500,59400
E02004486,54200,45500,64700
E02004487,47100,39400,56200
E02004488,50500,42300,60200
E02004489,55300,46200,66100
E02004490,37700,31500,45000
E02004491,57700,48100,69100
E02004492,53400,44800,63800
E02004493,50800,42600,60600
E02004494,47600,39700,57100
E02004495,47100,39500,56100
E02004496,60900,50800,72800
E02004497,51600,43300,61500
E02004498,46100,38700,55000
E02004499,54000,45100,64600
E02004500,53500,44800,63800
E02004501,49600,41600,59200
E02004502,48800,40900,58200
E02004503,49700,41600,59300
E02004504,53100,44300,63500
E02004505,45200,37900,53900
E02004506,53800,45000,64200
E02004507,46400,38900,55300
E02004508,49900,41800,59600
E02004509,53600,44900,64000
E02004512,44100,36900,52700
E02004513,31500,26300,37700
E02004514,48700,40900,58100
E02004515,50400,42300,60100
E02004516,42500,35400,51100
E02004517,42400,35600,50500
E02004518,55800,46700,66700
E02004519,47100,39500,56200
E02004520,43100,36100,51500
E02004521,41200,34600,49100
E02004522,43300,35700,52300
E02004523,41500,34700,49700
E02004524,54300,45400,64900
E02004525,41200,34500,49100
E02004526,43100,36100,51400
E02006922,42300,35500,50300
E02004527,47700,40000,56900
E02004528,48100,40300,57300
E02004529,50000,41900,59800
E02004530,44100,37000,52600
E02004531,48200,40400,57500
E02004532,51400,43100,61400
E02004533,37500,31400,44700
E02004534,43300,36300,51600
E02004535,39500,33000,47200
E02004536,45900,38500,54800
E02004537,39300,32900,47000
E02004538,55300,46400,66000
E02004539,47300,39600,56400
E02004540,55200,46300,65900
E02004541,53300,44600,63700
E02004542,57500,48000,68700
E02004543,45600,38200,54400
E02004544,45000,37700,53600
E02004545,37600,31600,44900
E02004546,38700,32500,46200
E02004547,42500,35700,50800
E02004548,50600,42200,60600
E02004549,38000,31800,45300
E02004550,38500,32300,46000
E02004551,38100,32000,45400
E02004552,41000,34400,49000
E02004553,41100,34500,49100
E02004554,42400,35500,50600
E02004555,46200,38700,55100
E02004556,52400,43900,62600
E02004557,45500,38200,54200
E02004558,38100,31800,45500
E02004559,45900,38500,54800
E02004560,44700,37400,53300
E02004561,46400,38900,55400
E02004562,42600,35700,50700
E02004563,40000,33500,47700
E02004564,46600,39100,55600
E02004565,47600,39900,56800
E02004566,38600,32300,46000
E02004567,52800,44300,63100
E02004568,48500,40500,58000
E02004569,40300,33800,48100
E02004570,42700,35800,51000
E02004571,48100,40100,57800
E02004572,43100,36100,51600
E02004573,34200,28600,40900
E02004574,35800,29900,43000
E02004575,44700,37400,53400
E02004576,44800,37400,53700
E02004577,43300,36200,51800
E02004578,35300,29200,42500
E02004579,38300,32000,45800
E02004580,38300,31900,46100
E02004581,44300,36900,53100
E02004582,32700,27300,39300
E02004583,38500,32100,46100
E02004584,33100,27500,39900
E02004585,37200,31100,44700
E02004586,33500,28000,40100
E02004587,32100,26800,38400
E02004588,27600,22900,33400
E02004589,34700,29000,41600
E02004590,28900,23800,35000
E02004591,58300,48800,69600
E02004592,46100,38600,54900
E02004593,54800,45900,65500
E02004594,50800,42600,60600
E02004595,53100,44500,63500
E02004596,52400,43900,62600
E02004597,46400,38900,55400
E02004598,51200,42900,61100
E02004599,51400,43100,61300
E02004843,52000,43400,62300
E02004844,42900,36000,51200
E02004845,41600,34900,49700
E02004846,56000,46900,66800
E02004847,45300,37900,54100
E02004848,47000,39400,56200
E02004849,54200,45400,64800
E02004850,41900,35100,50000
E02004851,42300,35400,50500
E02004852,43600,36600,52000
E02004853,37900,31700,45200
E02004854,42500,35600,50700
E02004855,38100,31900,45500
E02004856,54300,45500,64800
E02004857,50800,42500,60600
E02004858,49700,41700,59200
E02004859,56700,47500,67800
E02004860,54200,44900,65400
E02004861,52800,44200,63000
E02004862,43000,36000,51300
E02004863,39100,32800,46700
E02004864,64000,53300,76700
E02004865,46700,39100,55800
E02004866,43200,36200,51500
E02004867,55400,46500,66100
E02004868,43300,36300,51600
E02004869,58500,49100,69900
E02004870,45200,37900,53900
E02004871,47400,39800,56500
E02004872,52500,44000,62700
E02004873,57900,48200,69400
E02004874,46200,38700,55100
E02004875,46400,38900,55400
E02004876,51700,43200,61800
E02004877,49900,41800,59600
E02004878,51100,42800,60900
E02004879,53300,44700,63500
E02004880,56600,47400,67600
E02004881,50600,42400,60500
E02004882,54300,45600,64800
E02004883,48700,40900,58000
E02004884,47300,39700,56500
E02004885,56500,47300,67400
E02004886,48300,40500,57600
E02004887,56700,47500,67600
E02004888,49800,41700,59300
E02004889,48200,40500,57500
E02004890,50300,42100,60100
E02004891,56600,47400,67600
E02004892,47300,39600,56400
E02004893,57800,48300,69200
E02004894,53000,44400,63400
E02004895,48700,40800,58000
E02004896,52000,43600,62000
E02004897,47700,40000,56900
E02004898,42900,36100,51100
E02004899,53700,44900,64100
E02004900,59300,49500,71000
E02004901,37600,31500,44800
E02004902,42900,36000,51300
E02004903,51200,42900,61000
E02004904,43800,36700,52200
E02004905,57800,48400,69000
E02004906,46900,39300,56000
E02004907,48100,40300,57400
E02004908,49000,41100,58500
E02004909,48800,40900,58300
E02004910,56000,47000,66800
E02004911,40500,33900,48400
E02004912,47900,40200,57100
E02004913,58400,48900,69800
E02004914,47400,39600,56800
E02004915,42400,35500,50700
E02004916,52400,43800,62800
E02004917,46700,39100,55800
E02004918,53300,44600,63700
E02004919,49800,41800,59500
E02004920,48800,40900,58300
E02004921,57900,48400,69200
E02004922,50000,41900,59600
E02004923,52300,43800,62400
E02004924,64400,53900,77000
E02004925,57800,48400,69100
E02004926,67400,56100,80900
E02004927,56500,47400,67400
E02004928,64000,53500,76600
E02004929,54000,45300,64400
E02004930,57000,47600,68100
E02004931,52500,44100,62700
E02004932,55200,46100,66000
E02004933,72500,60400,87100
E02004934,64600,53800,77500
E02004935,65900,54600,79500
E02004936,66500,55600,79600
E02004937,68900,57500,82600
E02004938,54800,45900,65300
E02004939,51500,43100,61500
E02004940,52300,43800,62400
E02004941,50800,42600,60500
E02004942,51300,43100,61200
E02004943,53400,44800,63700
E02004944,44300,37100,53000
E02004945,52500,44000,62700
E02004946,44600,37400,53300
E02004947,53700,45000,64100
E02004948,44700,37500,53400
E02004949,42500,35500,50700
E02004950,49600,41400,59300
E02004951,40800,34100,48700
E02004952,43600,36600,52000
E02004953,44700,37400,53400
E02004954,46800,39100,55900
E02004955,48300,40300,57800
E02004956,50400,42300,60000
E02004957,49900,41800,59600
E02004958,54300,45500,64700
E02004959,59400,49700,71100
E02004960,65200,54400,78300
E02004961,57400,48000,68600
E02004962,54300,45500,64800
E02004963,50600,42300,60400
E02004964,47900,40200,57100
E02004965,45300,38000,54000
E02004966,81500,67000,99100
E02004967,38600,32300,46100
E02004968,45000,37700,53700
E02004969,50000,41900,59800
E02004970,43500,36400,51900
E02004971,48200,40400,57500
E02004972,54000,45200,64400
E02004973,49200,41000,59000
E02004974,57400,48000,68500
E02004975,64200,53500,77000
E02004976,45000,37500,53800
E02004977,50500,42100,60600
E02004978,43100,36100,51400
E02004979,53000,44400,63300
E02004980,64300,53500,77300
E02004981,54400,45700,64900
E02004982,54900,46000,65600
E02004983,45900,38500,54700
E02004984,48100,40300,57500
E02004985,50100,42000,59900
E02004986,44000,36800,52600
E02004987,49300,41300,58900
E02004988,46800,39300,55800
E02004989,43000,35400,52200
E02004990,48500,40700,57800
E02004991,40000,33500,47900
E02004992,40600,33800,48900
E02004993,42000,35200,50100
E02004994,56600,47400,67600
E02004995,59500,49500,71500
E02005503,41800,35000,49900
E02005504,42200,35400,50400
E02005505,39100,32700,46600
E02005506,40000,33200,48100
E02005507,36800,30800,44000
E02005508,42700,35800,50900
E02005509,36000,30100,42900
E02005510,39800,33300,47500
E02005511,35600,29900,42500
E02005512,44000,36700,52700
E02005513,39600,33200,47200
E02005514,40700,34100,48500
E02005515,45600,38300,54400
E02005516,43400,36300,51800
E02005517,34100,28300,41200
E02005518,41900,35000,50200
E02005519,37300,31200,44600
E02005520,40400,33800,48100
E02005521,44800,37600,53400
E02005522,45700,38200,54500
E02005523,45000,37700,53700
E02005524,40200,33600,48000
E02005525,47000,39400,56000
E02005526,43000,36000,51300
E02005527,45700,38200,54600
E02005528,43200,36200,51500
E02005529,38000,31800,45500
E02005530,41000,34400,48900
E02005531,42200,35400,50400
E02005532,41000,34300,48900
E02005533,42400,35500,50700
E02005534,38800,32500,46400
E02005535,50500,42300,60200
E02005536,44900,37600,53600
E02005537,44200,37000,52800
E02005538,37400,31300,44700
E02005539,41500,34800,49500
E02005540,35800,30000,42700
E02005541,34500,28700,41400
E02005542,29900,25000,35800
E02005543,28900,24100,34700
E02005544,34100,28500,40800
E02005545,39500,33100,47200
E02005546,32400,27100,38700
E02005547,41700,35000,49700
E02005548,34200,28600,41000
E02005549,39200,32800,46700
E02005550,38700,32400,46200
E02005551,34400,28600,41200
E02005552,41300,34500,49300
E02005553,35700,29800,42700
E02005554,38900,32600,46500
E02005555,52900,44300,63300
E02005556,40000,33500,47800
E02005557,31600,26400,37800
E02005558,39700,33200,47400
E02005559,39400,33000,47100
E02005560,41700,35000,49700
E02005561,35300,29600,42100
E02005562,40900,34300,48800
E02005563,40400,33800,48300
E02005564,43600,36400,52300
E02005565,40700,34100,48600
E02005566,39900,33400,47600
E02005567,39000,32700,46600
E02005568,41300,34600,49200
E02005569,40600,34000,48400
E02005570,37200,31200,44500
E02005571,39300,32900,47000
E02005572,32900,27300,39600
E02005573,37200,30900,44700
E02005574,39800,33100,47900
E02005575,40600,33900,48700
E02005576,37700,31500,45000
E02005577,42100,35200,50300
E02005578,40600,33900,48700
E02005579,36000,30200,42900
E02005580,35400,29300,42800
E02005581,37900,31300,45900
E02005582,36400,30500,43400
E02005583,39500,33100,47200
E02005584,37500,31500,44800
E02005585,35800,30000,42700
E02005586,42400,35500,50600
E02005587,33900,28400,40500
E02005588,36200,30300,43300
E02005589,37700,31600,45000
E02005590,32400,26900,39000
E02005592,52100,43600,62300
E02005593,31000,25000,38400
E02005594,43000,35900,51600
E02005595,51100,42900,61000
E02005596,35800,30000,42800
E02006907,40200,33300,48600
E02006908,40300,33700,48200
E02005597,44600,37400,53100
E02005598,54300,45500,64800
E02005599,45100,37800,53900
E02005600,43400,36200,52000
E02005601,39200,32800,46800
E02005602,49000,41100,58500
E02005603,49100,41200,58500
E02005604,46900,39300,55900
E02005605,47800,40100,57000
E02005606,44200,37000,52700
E02005607,44800,37600,53400
E02005608,42900,36000,51200
E02005609,39600,33200,47300
E02005610,45500,38100,54300
E02005611,38200,32000,45600
E02006227,44000,36800,52600
E02006228,43100,36100,51500
E02006229,42600,35700,50900
E02006230,42800,35900,51000
E02006231,48200,40500,57500
E02006232,44800,37500,53400
E02006233,36900,31000,44000
E02006234,42100,35300,50200
E02006235,49400,41400,58900
E02006236,48800,40900,58300
E02006237,44800,37500,53600
E02006238,36000,30100,43000
E02006239,36000,29800,43500
E02006240,43800,36600,52400
E02006241,39300,32900,47000
E02006242,48800,40900,58300
E02006243,42900,35900,51300
E02006826,42000,35100,50300
E02006245,37600,31500,44900
E02006246,44400,37300,53000
E02006247,37100,31100,44300
E02006248,42600,35700,50800
E02006249,48900,40900,58500
E02006250,41000,34200,49200
E02006251,41300,34500,49400
E02006252,41700,35000,49800
E02006253,47600,39700,57100
E02006254,37200,31200,44400
E02006255,47100,39400,56300
E02006256,37900,31600,45300
E02006257,34900,29300,41700
E02006258,41600,34800,49600
E02006259,37600,31500,44900
E02006260,37900,31700,45200
E02006261,44600,37400,53200
E02006262,46300,38800,55200
E02006263,44500,37300,53100
E02006264,50100,42000,59700
E02006265,44600,37500,53200
E02006266,45000,37700,53700
E02006267,48100,40300,57300
E02006268,36900,30900,44000
E02006269,48800,40900,58300
E02006270,47500,39900,56700
E02006271,42500,35500,50700
E02006272,43900,36800,52300
E02006273,43600,36500,51900
E02006274,47100,39200,56700
E02006275,36800,30800,44000
E02006276,46200,38600,55100
E02006277,55600,46500,66600
E02006278,44200,37000,52800
E02006279,44500,37300,53000
E02006280,48600,40800,57900
E02006281,43300,36300,51600
E02006282,45300,38000,54000
E02006283,45600,37900,55000
E02006284,39200,32800,46900
E02006285,47400,39700,56700
E02006286,41900,35100,49900
E02006287,46300,38700,55400
E02006288,44700,37500,53400
E02006289,41200,34500,49100
E02006290,37400,31400,44700
E02006291,46400,38900,55400
E02006292,49800,41700,59400
E02006293,44000,36800,52600
E02006294,43200,36200,51600
E02006295,46600,39100,55500
E02006296,52700,44300,62900
E02006297,54700,45800,65400
E02006298,44300,37200,52800
E02006299,45400,38100,54100
E02006300,34400,28800,41100
E02006301,38500,32200,46100
E02006302,42500,35400,50900
E02006303,34000,28400,40600
E02006304,36600,30600,43700
E02006305,33400,27900,39900
E02006306,35600,29800,42500
E02006307,41100,34400,49000
E02006308,31800,26500,38100
E02006309,34500,28700,41400
E02006310,42500,35600,50600
E02006311,36200,30300,43200
E02006312,44200,37100,52700
E02006313,37800,31700,45200
E02006314,40500,34000,48300
E02006315,40700,34100,48500
E02006316,37800,31600,45100
E02000166,52900,44200,63200
E02000167,68200,56800,81900
E02000168,57000,47600,68200
E02000169,67300,55900,81100
E02000170,60500,50500,72300
E02000171,58200,48500,69700
E02000172,45600,38100,54500
E02000173,65500,54400,78900
E02000174,50900,42600,60800
E02000175,64100,53300,77100
E02000176,65400,54000,79200
E02000177,48200,40300,57700
E02000178,51400,42900,61600
E02000179,55700,46600,66600
E02000180,48800,40800,58300
E02000181,67400,55900,81400
E02000182,60900,50800,73000
E02000183,54500,45300,65500
E02000184,48500,40600,57900
E02000185,45700,38200,54800
E02000186,51300,42900,61400
E02000187,40700,34000,48700
E02000188,41300,34600,49300
E02000189,42300,35300,50600
E02000190,38500,31600,46900
E02000191,46800,38200,57400
E02000192,50000,41800,59800
E02000193,50200,41500,60600
E02000001,65400,53500,79900
E02000345,46000,37800,56100
E02000346,42100,35200,50200
E02000347,45000,37200,54400
E02000348,42300,35000,51200
E02000350,51100,42800,60900
E02000351,60500,50500,72400
E02000352,50400,42200,60300
E02000353,57000,47800,68100
E02000354,45600,38300,54400
E02000355,49700,41700,59300
E02000356,57000,47800,68100
E02000357,38800,32500,46400
E02000358,52000,43600,62000
E02000359,50100,42000,59800
E02000360,45200,37900,53800
E02000361,52200,43700,62400
E02000362,46500,39000,55500
E02000363,43000,36000,51300
E02000364,53300,44600,63500
E02000365,56000,46900,67000
E02000366,45600,38200,54400
E02000367,56900,47600,67900
E02000368,45700,38400,54500
E02000369,53100,44500,63300
E02000370,53400,44600,63800
E02000371,54300,45400,65100
E02006918,44600,37400,53200
E02006921,41100,34200,49400
E02000372,45900,38500,54700
E02000373,42000,35200,50200
E02000374,53900,45200,64300
E02000375,50100,41900,59900
E02000376,51100,42800,61000
E02000377,48800,40800,58200
E02000378,54700,45600,65500
E02000379,54400,45500,65000
E02000380,57700,48100,69200
E02000381,58100,48500,69500
E02000382,57500,48100,68800
E02000383,56900,47500,68100
E02000384,46700,39100,55700
E02000385,59400,49400,71400
E02000386,48300,40500,57700
E02000387,51700,43300,61800
E02000388,56600,47200,67900
E02000389,59500,49600,71300
E02000390,57600,48100,68900
E02000391,59900,49900,71800
E02000392,61900,51800,74000
E02000393,69400,57600,83500
E02000394,56300,47000,67400
E02000395,69500,57900,83500
E02000396,58900,49300,70300
E02000397,50800,42500,60600
E02000398,36900,30800,44200
E02000400,51000,42700,60800
E02000401,41400,34600,49600
E02000402,37700,31400,45200
E02000403,49400,41400,58900
E02000404,45200,37900,54000
E02000405,65500,54900,78200
E02000406,44900,37600,53600
E02000407,42600,35700,51000
E02000408,39600,33100,47400
E02000409,39900,33400,47800
E02000410,64800,54300,77400
E02000411,44000,36900,52600
E02000412,43800,36700,52300
E02000413,60100,50300,71700
E02000414,46100,38600,55000
E02000415,47000,39400,56000
E02000416,53100,44500,63500
E02000417,65800,55100,78500
E02000418,63900,53400,76400
E02000419,50000,41800,59700
E02000420,44000,36900,52500
E02000421,40300,33700,48100
E02000422,44200,37100,52800
E02000423,48900,40900,58300
E02000424,56400,47200,67400
E02000425,45800,37900,55200
E02000426,63600,53200,76000
E02000427,55500,46500,66100
E02000428,44400,37100,53200
E02000429,65800,54900,78800
E02000430,65500,54700,78300
E02000431,71300,59500,85500
E02000432,58000,48500,69300
E02006794,38300,31900,45800
E02000554,46300,38800,55300
E02000555,51600,43300,61600
E02000556,52100,43700,62200
E02000557,47100,39400,56400
E02000558,41600,34900,49600
E02000559,65100,54300,78100
E02000560,52700,44200,63000
E02000561,60300,50500,72000
E02000562,55500,46300,66400
E02000563,44500,37200,53200
E02000564,58700,49000,70400
E02000565,49000,41000,58500
E02000566,65600,54600,78900
E02000567,56000,46700,67100
E02000568,42600,35600,51000
E02000569,53300,44500,63700
E02000570,67200,56000,80700
E02000571,53600,44800,64100
E02000572,44400,37200,52900
E02000573,63500,52800,76400
E02000574,50900,42500,61000
E02000575,53800,44600,64900
E02000576,48900,40900,58500
E02000577,40300,33700,48200
E02000578,40000,33500,47800
E02000579,47300,39500,56500
E02000580,47100,39300,56500
E02000581,40800,34000,48900
E02000582,58500,48600,70400
E02000583,61700,51300,74200
E02000584,70900,58900,85500
E02000585,60100,50100,72000
E02000586,73900,61100,89400
E02000587,69200,57300,83400
E02000588,72600,59400,88700
E02000589,56600,47000,68200
E02000590,50600,42000,61000
E02000591,49800,41600,59800
E02000592,70100,57700,85300
E02000593,57100,47400,68700
E02000594,59900,49700,72000
E02000595,58100,48300,70000
E02000596,63300,52400,76500
E02000597,44600,37200,53500
E02000619,49500,41400,59100
E02000620,54600,45600,65300
E02000621,57200,47700,68700
E02000622,56800,47500,67900
E02000623,49900,41800,59400
E02000624,51100,42800,61200
E02000625,49100,41200,58600
E02000626,44100,37000,52600
E02000627,54900,45900,65500
E02000628,44500,37400,53100
E02000629,64600,53800,77500
E02000630,66000,54900,79300
E02000631,58500,49000,69800
E02000632,67300,56100,80700
E02000633,49800,41700,59400
E02000634,53200,44400,63700
E02000635,54000,45200,64500
E02000636,71500,59100,86400
E02000637,61900,51800,74000
E02000638,49900,41800,59600
E02000639,49700,41600,59400
E02000640,64000,53300,76900
E02000641,45100,37900,53800
E02000642,55900,46800,66800
E02000643,54400,45400,65200
E02000644,55900,46800,66600
E02000645,58200,48800,69400
E02000646,59500,49900,70900
E02000647,53400,44800,63700
E02000648,43300,36000,52000
E02000649,54800,45800,65400
E02000650,50100,41900,60000
E02000651,57700,48000,69400
E02000652,49300,41200,58900
E02006801,53600,44800,64200
E02000653,51800,43400,61800
E02000654,46400,38700,55500
E02000655,49700,41700,59300
E02000657,51300,43000,61300
E02000658,53100,44600,63300
E02000659,59500,49700,71100
E02000660,58800,49300,70200
E02000661,58800,49100,70400
E02000662,51100,42800,60800
E02000663,60400,50700,72100
E02000664,50700,42500,60600
E02000665,53500,44800,63800
E02000666,58200,48800,69500
E02000667,58800,49400,70000
E02000668,63700,53200,76200
E02000669,55700,46700,66500
E02000670,48700,40700,58300
E02000671,60600,50500,72600
E02000672,48200,40300,57500
E02000673,66600,55600,79800
E02000674,56800,47600,67700
E02000675,53700,45100,63900
E02000676,58000,48700,69200
E02000677,54200,45500,64700
E02000678,48000,40100,57300
E02000679,53000,44400,63300
E02000680,52300,43900,62400
E02000681,45100,37700,53900
E02000682,45600,38100,54500
E02000683,44200,37000,52700
E02000685,51700,43200,61800
E02000686,43700,36600,52200
E02000687,52600,44100,62800
E02006783,44000,36800,52500
E02006784,42900,36000,51300
E02006798,45800,38400,54800
E02000714,48700,40800,58200
E02000715,40800,34000,48900
E02000716,45400,37900,54300
E02000717,43300,36100,52000
E02000718,41600,34600,49900
E02000719,44400,37200,53000
E02000720,49500,41400,59100
E02000721,43300,36100,52000
E02000722,50200,42100,59900
E02000723,46200,38400,55500
E02000724,45300,37700,54400
E02000725,50300,42200,60000
E02000726,59200,49300,71100
E02000727,45200,37600,54400
E02000728,46000,38300,55300
E02000729,46000,38500,55000
E02000730,43900,36600,52700
E02000731,47600,39700,57200
E02000732,42700,35600,51200
E02000733,45300,38000,54000
E02000734,42600,35700,50800
E02000735,41300,34500,49400
E02000736,40400,33800,48400
E02000737,43800,36600,52500
E02000738,48300,40400,57800
E02000739,42900,35900,51300
E02000740,43200,36200,51600
E02000741,45200,37800,54000
E02000742,43600,36300,52400
E02000743,40200,33700,48000
E02000744,40700,34100,48600
E02000745,47400,39700,56700
E02000746,46300,38800,55200
E02000747,51800,43500,61800
E02000748,45900,38400,54900
E02000749,41200,34500,49300
E02000750,58900,49100,70700
E02000807,69100,57500,83100
E02000808,56600,47100,68000
E02000809,74200,61300,89800
E02000810,52400,43900,62600
E02000812,52200,43600,62400
E02000813,50900,42700,60700
E02000814,63300,52700,75900
E02000815,54700,45600,65600
E02000816,47800,40100,57000
E02000817,41800,35000,50000
E02000818,46800,39200,55800
E02000819,47500,39800,56700
E02000820,50700,42500,60500
E02000821,44500,37300,53100
E02000822,43300,36300,51700
E02000823,46800,39200,55900
E02000824,43200,36200,51500
E02000825,46100,38600,54900
E02000826,45900,38500,54700
E02000827,44000,36900,52500
E02000828,45700,38400,54500
E02000829,45200,37900,53900
E02000830,56300,47100,67300
E02000831,52500,43900,62700
E02000832,45300,38000,54100
E02000833,53800,45200,64100
E02000834,62600,52200,75000
E02000835,54200,45400,64700
E02000836,67000,56100,80100
E02000837,76600,64000,91600
E02000838,59400,49800,70900
E02000839,56500,47300,67600
E02006802,48300,40000,58200
E02000864,46200,38700,55200
E02000865,44400,37100,53100
E02000866,55500,46400,66300
E02000867,57000,47700,68000
E02000868,55100,46200,65800
E02000869,48900,41000,58400
E02000870,49300,41300,58700
E02000871,48300,40500,57700
E02000872,58200,48500,69700
E02000873,45700,38000,54800
E02000874,45500,38100,54400
E02000875,51200,42800,61200
E02000876,51700,43300,61800
E02000877,48000,40200,57400
E02000878,53100,44400,63500
E02000879,44500,37300,53000
E02000880,47900,40200,57100
E02000881,45000,37700,53700
E02000882,50700,42400,60700
E02000883,41700,34900,49800
E02000884,65300,54300,78600
E02000885,43200,36200,51600
E02000886,58600,49000,70100
E02000887,47600,39900,56700
E02000888,62600,52200,75200
E02000889,60700,50600,72800
E02000890,70900,58200,86200
E02000891,68500,56900,82500
E02000893,53800,45000,64300
E02000894,68800,57300,82700
E02006853,64700,53700,77900
E02006854,85200,69100,105000
E02000923,63200,52700,75800
E02000924,54100,45200,64600
E02000925,50400,42300,60200
E02000926,66400,55400,79500
E02000927,58900,49000,70800
E02000928,71500,59400,86100
E02000929,47000,39400,56200
E02000930,73000,60900,87400
E02000931,80600,66800,97100
E02000932,75500,63000,90600
E02000933,68500,57300,82000
E02000934,65900,54800,79100
E02000935,38400,31900,46100
E02000936,66300,55100,79800
E02000937,74000,61500,89100
E02000938,52500,44000,62700
E02000939,77300,64300,93000
E02000940,58200,48500,69800
E02000941,71900,60100,86000
E02000942,71300,59700,85300
E02000943,71800,59800,86200
E02000944,51400,43000,61500
E02000945,41400,34600,49600
E02000946,62700,51600,76100
E02000947,76700,63900,92000
E02000948,69000,57200,83200
E02000949,73500,61200,88200
E02000950,61800,51800,73900
E02000951,63500,52900,76100
E02000952,61600,51400,73700
E02000953,63100,52300,76100
E02000954,60700,50800,72600
E02000955,53600,44800,64100
E02000956,51300,43000,61200
E02000957,56300,47200,67200
E02000958,59800,49900,71600
E02000959,52800,44300,63000
E02000960,59900,49800,72000
E02000961,59600,49800,71200
E02000962,53500,44500,64300
E02000963,44500,37300,53100
E02000964,46700,39100,55700
E02000965,63000,52500,75600
E02000966,65100,54100,78400
E02000967,71200,58800,86200
E02000968,39800,33200,47800
E02000969,42600,35600,50900
E02000970,73500,60500,89200
E02000971,60700,50200,73400
E02000972,54000,44700,65400
E02000973,56500,47000,67900
E02000974,55900,46300,67400
E02000975,66700,54800,81100
E02000976,57300,47700,68800
E02000977,59000,48700,71600
E02000978,56300,46100,68700
E02000979,57500,47600,69400
E02000980,53000,44200,63700
E02000981,61900,51300,74600
E02000982,50300,42000,60300
E02000983,51700,43100,62100
E02000002,39000,32600,46700
E02000003,47800,40100,57100
E02000004,43700,36500,52400
E02000005,44900,37500,53700
E02000007,38000,31800,45500
E02000008,40900,34200,48800
E02000009,42300,35500,50500
E02000010,40000,33500,47800
E02000011,45000,37700,53700
E02000012,46700,39000,55800
E02000013,39400,33000,47200
E02000014,39900,33300,47600
E02000015,36400,30400,43500
E02000016,48600,40600,58200
E02000017,49900,41700,59800
E02000018,39500,33000,47300
E02000019,42200,35400,50500
E02000020,42500,35600,50700
E02000021,42300,35400,50500
E02000022,44200,36800,53100
E02000023,42300,35400,50500
E02006799,40800,34200,48800
E02000024,60200,50600,71800
E02000025,55400,46500,66000
E02000026,54900,46000,65500
E02000027,50100,42000,59800
E02000028,61700,51700,73600
E02000029,55500,46500,66100
E02000030,58000,48600,69200
E02000031,58400,48900,69700
E02000032,59600,49900,71100
E02000033,51100,42900,60900
E02000034,52200,43800,62300
E02000035,54500,45700,64900
E02000036,53800,45100,64200
E02000037,56300,47100,67400
E02000038,54300,45600,64800
E02000039,67000,55900,80300
E02000040,55000,46100,65600
E02000041,51300,42900,61400
E02000042,51100,42800,60900
E02000043,65800,55000,78700
E02000044,49400,41400,59000
E02000045,49800,41800,59400
E02000046,60600,50800,72200
E02000047,43800,36700,52200
E02000048,58700,49200,70000
E02000049,43400,36300,52000
E02000050,53100,44500,63300
E02000051,58600,49100,69900
