msoa11cd,moss_lead_mean_idw_1990,moss_sample_dist_mean_1990,moss_lead_mean_idw_1995,moss_sample_dist_mean_1995,moss_lead_mean_idw_2000,moss_sample_dist_mean_2000,moss_lead_mean_idw_2005,moss_sample_dist_mean_2005,moss_lead_mean_idw_1990_pl_hy,moss_sample_dist_mean_1990_pl_hy,moss_lead_mean_idw_2000_pl_hy,moss_sample_dist_mean_2000_pl_hy,moss_lead_mean_idw_2005_pl_hy,moss_sample_dist_mean_2005_pl_hy
E02004207,8.792300491869385,52793.48329419537,11.53416101445701,94191.271435188115,4.9252257854021275,53602.43093392843,4.167714821260733,53596.383191352805,8.287605331872838,140363.4517625392,4.113942584899216,78148.47348700587,3.7004238289956017,113597.64025674992
E02004208,8.625564751799917,50017.079165260424,12.019973543313784,94615.78692767987,5.073308503621863,57625.25106570748,4.365121168070281,57600.27700823963,8.324970171504805,137689.32714780056,4.012334814429731,81873.10437991438,3.7009245934552086,116727.90063372982
E02004209,8.765839355495384,51316.94644168708,11.780321235179596,94790.46859374698,5.002810248328186,55992.51315323983,4.2536112179098895,55976.85815514119,8.34827922492233,139610.83462259074,4.070667064549875,80134.0359531189,3.698744040616649,115772.61743665789
E02004210,8.643068361394729,50068.253870925364,12.001601263216719,94973.85624935034,5.0711124998453245,58104.946303094264,4.355992711157085,58079.627376911994,8.342881206663177,138192.25599833185,4.015163848740373,82105.3110429146,3.7012755001834727,117297.73540601831
E02004211,8.706944602032783,50515.90363734247,11.922430230770436,94845.21555214193,5.0450333710965864,57129.012224105514,4.31458189792976,57107.82180458194,8.35088751861898,138682.42391102522,4.038530203405504,81231.47094594978,3.699343913070033,116581.14468715935
E02004212,8.805711844887028,51896.54713972572,11.650696338058928,95616.22683628969,4.976152023763409,56665.97575112,4.211162930079618,56651.48521510315,8.381434958962434,141277.87193146485,4.0887740899572,80246.86973456242,3.7032152986311497,116798.77211240253
E02004213,8.82164754114634,52088.6821941176,11.61123108222849,96050.86375223205,4.970114688217177,57172.834131268704,4.199300102961251,57158.148797680245,8.400298847603121,141989.5250817125,4.0931686166552455,80471.06230758001,3.7052259937876326,117441.06415669879
E02004214,8.804115345511994,51550.411593776145,11.715316438921839,95790.01343905115,4.995617405150859,57309.57820207617,4.232344850629498,57292.7618250176,8.399547759500237,141074.91936569868,4.077527186703886,80781.82892374911,3.7022090130916028,117362.91530871832
E02004215,8.813204896161341,51741.12462070298,11.6785737205385,95920.61966137703,4.986934060920221,57314.85836278487,4.220119850350574,57298.73594794522,8.402821162668596,141444.8586806431,4.083255173134959,80701.01315400713,3.703208345342048,117454.16405235203
E02004216,8.8057324334407,51270.723351858396,11.766730311228716,96084.33684672407,5.012654869401476,58109.91776454211,4.2504564572052885,58090.71878029401,8.421758665468184,141055.48778367238,4.066956537104684,81394.65667677161,3.7019762563958833,118104.31739600743
E02004217,8.772653363171543,55245.789817763995,10.874473492173685,97092.88543908705,4.783035492199638,56383.153087956045,4.056581076770586,56377.90184617084,8.316567131763735,146439.36600979514,4.147418557391925,78966.04461245386,3.7508985315437564,117476.17897268829
E02004218,8.871108852789042,51426.309398094796,11.754740839942139,97244.54851930153,5.019637711287858,59866.63787473991,4.243085764878626,59845.181558926655,8.497182190879991,142389.5103415916,4.066208676100968,82433.84589696594,3.703440650396685,120054.61734387807
E02004219,8.895152757687121,52619.121563131805,11.558927300511131,97797.37807503359,4.972943388429826,59551.531924579496,4.178409473957275,59534.43129742379,8.488194042122737,144353.51932072468,4.098682275493667,81789.88188912139,3.7085672411018877,120217.56875654127
