msoa11cd,lad20cd,imd_overall_score_2015,imd_income_score_2015,imd_employment_score_2015,imd_health_disability_score_2015,imd_housing_services_score_2015,total_ppl_est_2015
E02000070,E09000004,13.549518928436674,0.08317180228902024,0.06709998742296566,-0.6743837253175701,25.58158923405861,7951
E02000071,E09000004,17.870554619636746,0.11953448275862068,0.08458252171624112,-0.5068656225322453,20.719340089497237,7598
E02000072,E09000004,31.57721736516661,0.2050827894194435,0.1427761078667125,0.19094701133631056,37.57309524218481,11644
E02000073,E09000004,8.703328624806343,0.0562893465779641,0.05374637747197667,-0.8997402715756858,17.917316686412104,10973
E02000074,E09000004,29.74117918004446,0.19463941714003458,0.14006865892813042,-0.05366152136329959,37.016357248703386,8098
E02000075,E09000004,8.89717351764278,0.060485631138595855,0.05493609797502122,-0.9039250636595125,16.07520116405966,8247
E02000077,E09000004,12.745681586608443,0.08144747695293549,0.06369505094614264,-0.6813524987869966,19.383603590490054,8244
E02000078,E09000004,10.34814640356461,0.06383679185232335,0.05381285805219605,-0.9324008911521324,22.31248058561426,7855
E02000079,E09000004,13.067737594617325,0.08787420401297609,0.060851015258921066,-0.5461546317433619,21.804261083743846,8323
E02000080,E09000004,11.92746678872953,0.07736059403926356,0.05442152375139864,-0.8532484996439833,20.017121147390906,9831
E02000081,E09000004,16.31653587903639,0.09118528959507945,0.0791570989236289,-0.48050000000000004,24.908465402357763,7804
E02000082,E09000004,8.814773633998264,0.04656721595836947,0.037769080659150044,-0.7572001300954033,22.67563963573287,9224
E02000083,E09000004,21.449695225225224,0.12434315315315315,0.09748261261261261,-0.26797162162162164,26.731593963963967,11100
E02000084,E09000004,9.105052779796512,0.05538126816860465,0.04616833212209302,-0.9497533611918605,22.290174872819765,11008
E02000085,E09000004,11.577483086419754,0.07252296296296297,0.05151901234567901,-0.7658077777777778,19.96751913580247,8100
E02000086,E09000004,7.6400766428282285,0.04588948859802995,0.0428828768047497,-0.9741643502901093,18.797168668195926,7411
E02000087,E09000004,7.91500439753738,0.0466196758386732,0.04184382460108054,-0.91245407714537,21.20865070988818,7959
E02000088,E09000004,8.580550497866287,0.04905237294710979,0.045718996508470194,-0.9706935212724686,22.78937811974654,7733
E02000089,E09000004,7.935679305097643,0.05230547806238904,0.05038029419223942,-0.7440911742328177,17.777926198326146,7886
E02000090,E09000004,11.417497471214894,0.07774066501667921,0.05213128160981383,-0.8039111158936835,23.470852361992897,9293
E02000091,E09000004,12.677847819426004,0.08790348279031764,0.060939127770401384,-0.5770466755183332,27.61881033602288,9791
E02000092,E09000004,30.79426125857441,0.18300253504324485,0.13630495079033703,0.2840483149418431,37.15797077244259,6706
E02000093,E09000005,18.51265270980605,0.12261935834692768,0.06844870400580026,-0.6341074859525103,39.056863240891786,11034
E02000094,E09000005,19.701443778110946,0.12044954445853998,0.07028324299388768,-0.6001575366163072,38.56904082574098,8671
E02000095,E09000005,18.901116121982717,0.11160862223105196,0.06379129830138075,-0.818497963643588,40.60338770239396,10067
E02000096,E09000005,11.05660951621478,0.07530874534821903,0.045323763955342905,-1.0710542264752791,33.62635220627326,7524
E02000097,E09000005,19.284324330332336,0.12077092364121374,0.06989952206290985,-0.5915887518061577,39.46424341447149,8997
E02000098,E09000005,21.869006846846844,0.14462774774774775,0.08662942942942943,-0.5706909309309308,42.128029429429425,8325
E02000099,E09000005,18.820169756207168,0.12196831816649815,0.06681238063138974,-0.9029831479609032,44.00354892708684,8901
E02000100,E09000005,12.250444992710552,0.06357474486935068,0.035220589884490304,-0.8248010541661993,44.91898093529214,8917
E02000101,E09000005,27.68633350676379,0.1848961498439126,0.1177579604578564,-0.25329105098855353,45.617651092611865,9610
E02000102,E09000005,33.10145888053041,0.19387466530664285,0.12115593522886652,-0.1847650133877343,49.08802499043733,7843
E02000103,E09000005,28.897435159149705,0.19836756270385783,0.1234804858846024,-0.364483072770217,43.07627904622652,8891
E02000104,E09000005,23.181167785234898,0.13488590604026846,0.09713422818791946,-0.5878696868008948,41.804598434004475,7152
E02000105,E09000005,21.4174492812723,0.13488765419512694,0.07357019064124783,-0.6764693648689978,47.812316647976346,9809
E02000106,E09000005,33.326787599188044,0.1797895368149105,0.11126951467060342,-0.2609038568001476,46.04350249123455,10838
E02000107,E09000005,25.179422019154728,0.14435673490905895,0.09574149898954398,-0.23886284157806872,39.562002811703714,11381
E02000108,E09000005,20.69805981223501,0.1225943367655966,0.07351196244700181,-0.5501359781950333,43.10153937007874,6604
E02000109,E09000005,21.547692966636607,0.11502037871956718,0.06539440937781786,-0.6047305680793508,46.0281742110009,11090
E02000110,E09000005,20.8727315428301,0.12963629910080454,0.08022858495030762,-0.4792946048272599,39.874265617605296,8452
E02000111,E09000005,22.217877004848937,0.12749543080939948,0.06388082804923535,-0.6542054270794481,48.97565386049981,10724
E02000112,E09000005,23.599742559523808,0.12572708333333332,0.07407886904761905,-0.7550934523809525,44.9610566468254,10080
E02000113,E09000005,45.0679723035117,0.28499508779264215,0.18877121655518395,0.057664297658862884,59.92016638795987,9568
E02000114,E09000005,24.566917720834685,0.15444091253108444,0.09124435074062061,-0.4228665801708293,40.207269326413666,9249
E02000115,E09000005,23.96195340628309,0.14774432286151312,0.09333580421226026,-0.16806271326038358,41.44268949288151,8499
E02000116,E09000005,34.40406928406466,0.21316166281755197,0.13500439898823272,0.008442428241504452,41.84704058066645,9093
E02000117,E09000005,40.87962306326662,0.25970424467398323,0.18380019367333764,-0.005544867656552613,47.43870739186571,12392
E02000118,E09000005,23.451696060577014,0.11922112527556791,0.07669999041502923,-0.7421443496597335,48.23731870027797,10433
E02000119,E09000005,45.559613402061856,0.2599673120442545,0.19864860447573546,0.48819097309529796,53.100471083731456,7954
E02000120,E09000005,25.248584865327064,0.1554797990594271,0.09815540829414279,-0.2722342881573322,38.05429638734502,9356
E02000121,E09000005,22.230575781326543,0.12708357009895171,0.0650514352895072,-0.9585910649554228,46.290974233369255,10207
E02000122,E09000005,17.425947625610828,0.11727051747901265,0.07028104247588021,-0.6819372259115399,31.995073549680495,7981
E02000123,E09000005,36.124354966286305,0.21047866960580913,0.14564198651452281,-0.1762311981327801,38.29584770487552,15424
E02000124,E09000005,21.09339867667391,0.12323474224767925,0.08766818092040292,-0.6433296464546712,34.77624896306537,10126
E02000125,E09000005,18.76533574074074,0.12066842592592593,0.08220824074074075,-0.4599629629629629,33.88631787037037,10800
E02000126,E09000005,38.516587840558316,0.2848392162125889,0.18218950476446114,0.06600509998657898,39.52674137699638,7451
E02000127,E09000006,31.154922960069445,0.20561143663194445,0.1379033203125,-0.05153125000000001,28.70699088541667,9216
E02000128,E09000006,11.754557284299858,0.08382653979683682,0.058895589558955894,-0.7798982898289829,22.617371865758006,7777
E02000130,E09000006,17.555817572335922,0.11128322747588802,0.07436767819336626,-0.6756142084215478,25.535848388614443,8502
E02000131,E09000006,22.164807626864178,0.14316765088579722,0.08622139925933339,-0.38467670903813433,37.435126213592234,9991
E02000132,E09000006,15.421347252518958,0.09843222187597382,0.06314521657837333,-1.0477811363872442,33.5312228108445,9627
E02000133,E09000006,6.742223472208981,0.040049194394127186,0.0328876918676709,-1.5948563256745163,27.26654028029364,10489
E02000134,E09000006,15.9732266469153,0.10878180550714533,0.07962016382014639,-0.42697786685256184,25.85547298710352,11476
E02000135,E09000006,33.39903611432986,0.23334414831981462,0.15310486674391657,0.13008149864812668,33.72960872923909,10356
E02000136,E09000006,20.13959566660842,0.11656543770749606,0.08591438056963131,-0.6699454831382142,34.61051127031278,5723
E02000137,E09000006,8.412080286738352,0.05937873357228196,0.04616140979689366,-1.110653405017921,28.67496379928315,8370
E02000138,E09000006,6.405692298391972,0.04107254261878854,0.032660016926611045,-1.4747955507193808,24.243387498488694,8271
E02000139,E09000006,12.80906155065381,0.07234830273411703,0.06271100250957602,-0.8116717738739929,25.68644234579316,7571
E02000140,E09000006,35.65832430827693,0.23346289039306495,0.15898824367652298,0.2046614416340102,31.48528963306021,8421
E02000141,E09000006,15.660851020684062,0.1055296741922401,0.07691455995673922,-0.6879503852913342,24.92287765310261,7397
E02000142,E09000006,8.116031601123595,0.055666198501872655,0.04661341292134831,-1.127218281835206,26.35957326779026,8544
E02000144,E09000006,8.478019714989822,0.051342976534876246,0.03742472945462338,-1.4802322940105004,28.152675881281475,9333
E02000145,E09000006,33.56163361778576,0.21975814057938467,0.1365965641140804,0.1362114304962946,35.17740163934426,8906
E02000146,E09000006,9.967636815920399,0.06601633138654553,0.047725286610426125,-0.9297485399091499,25.234121025308244,9246
E02000147,E09000006,4.908987892870246,0.03430451265745384,0.027777302189066898,-1.6682317475846888,24.42472557172557,8177
E02000148,E09000006,7.357472893827902,0.04597702357711368,0.03989337738399159,-1.2806951494218353,27.07152785703559,6659
E02000149,E09000006,23.112002465483236,0.15672140039447732,0.10180202169625246,-0.31892258382642996,28.10755892504931,8112
E02000150,E09000006,11.160133218390804,0.05593379310344828,0.056328620689655176,-1.3052127586206894,30.43371586206896,8700
