state,zip,year,tested,BLL_geq_10
MI,48039,2014,,
MI,48039,2015,,
MI,48040,2005,,
MI,48040,2006,,
MI,48040,2007,,
MI,48040,2008,,
MI,48040,2009,,
MI,48040,2010,,
MI,48040,2011,,
MI,48040,2012,,
MI,48040,2013,,
MI,48040,2014,,
MI,48040,2015,,
MI,48040,2005,,
MI,48040,2006,,
MI,48040,2007,,
MI,48040,2008,,
MI,48040,2009,,
MI,48040,2010,,
MI,48040,2011,,
MI,48040,2012,,
MI,48040,2013,,
MI,48040,2014,,
MI,48040,2015,,
MI,48041,2005,,
MI,48041,2006,,
MI,48041,2007,,
MI,48041,2008,,
MI,48041,2009,,
MI,48041,2010,,
MI,48041,2011,,
MI,48041,2012,,
MI,48041,2013,,
MI,48041,2014,,
MI,48041,2015,,
MI,48041,2005,,
MI,48041,2006,,
MI,48041,2007,,
MI,48041,2008,,
MI,48041,2009,,
MI,48041,2010,,
MI,48041,2011,,
MI,48041,2012,,
MI,48041,2013,,
MI,48041,2014,,
MI,48041,2015,,
MI,48042,2005,,
MI,48042,2006,,
MI,48042,2007,,
MI,48042,2008,,
MI,48042,2009,,
MI,48042,2010,,
MI,48042,2011,,
MI,48042,2012,,
MI,48042,2013,,
MI,48042,2014,,
MI,48042,2015,,
MI,48043,2005,,
MI,48043,2006,,
MI,48043,2007,,
MI,48043,2008,,
MI,48043,2009,,
MI,48043,2010,,
MI,48043,2011,,
MI,48043,2012,,
MI,48043,2013,,
MI,48043,2014,,
MI,48043,2015,,
MI,48044,2005,,
MI,48044,2006,,
MI,48044,2007,,
MI,48044,2008,,
MI,48044,2009,,
MI,48044,2010,,
MI,48044,2011,,
MI,48044,2012,,
MI,48044,2013,,
MI,48044,2014,,
MI,48044,2015,,
MI,48044,2005,,
MI,48044,2006,,
MI,48044,2007,,
MI,48044,2008,,
MI,48044,2009,,
MI,48044,2010,,
MI,48044,2011,,
MI,48044,2012,,
MI,48044,2013,,
MI,48044,2014,,
MI,48044,2015,,
MI,48044,2005,,
MI,48044,2006,,
MI,48044,2007,,
MI,48044,2008,,
MI,48044,2009,,
MI,48044,2010,,
MI,48044,2011,,
MI,48044,2012,,
MI,48044,2013,,
MI,48044,2014,,
MI,48044,2015,,
MI,48044,2005,,
MI,48044,2006,,
MI,48044,2007,,
MI,48044,2008,,
MI,48044,2009,,
MI,48044,2010,,
MI,48044,2011,,
MI,48044,2012,,
MI,48044,2013,,
MI,48044,2014,,
MI,48044,2015,,
MI,48045,2005,,
MI,48045,2006,,
MI,48045,2007,,
MI,48045,2008,,
MI,48045,2009,,
MI,48045,2010,,
MI,48045,2011,,
MI,48045,2012,,
MI,48045,2013,,
MI,48045,2014,,
MI,48045,2015,,
MI,48045,2005,,
MI,48045,2006,,
MI,48045,2007,,
MI,48045,2008,,
MI,48045,2009,,
MI,48045,2010,,
MI,48045,2011,,
MI,48045,2012,,
MI,48045,2013,,
MI,48045,2014,,
MI,48045,2015,,
MI,48046,2005,,
MI,48046,2006,,
MI,48046,2007,,
MI,48046,2008,,
MI,48046,2009,,
MI,48046,2010,,
MI,48046,2011,,
MI,48046,2012,,
MI,48046,2013,,
MI,48046,2014,,
MI,48046,2015,,
MI,48047,2005,,
MI,48047,2006,,
MI,48047,2007,,
MI,48047,2008,,
MI,48047,2009,,
MI,48047,2010,,
MI,48047,2011,,
MI,48047,2012,,
MI,48047,2013,,
MI,48047,2014,,
MI,48047,2015,,
MI,48047,2005,,
MI,48047,2006,,
MI,48047,2007,,
MI,48047,2008,,
MI,48047,2009,,
MI,48047,2010,,
MI,48047,2011,,
MI,48047,2012,,
MI,48047,2013,,
MI,48047,2014,,
MI,48047,2015,,
MI,48048,2005,,
MI,48048,2006,,
MI,48048,2007,,
MI,48048,2008,,
MI,48048,2009,,
MI,48048,2010,,
MI,48048,2011,,
MI,48048,2012,,
MI,48048,2013,,
MI,48048,2014,,
MI,48048,2015,,
MI,48049,2005,,
MI,48049,2006,,
MI,48049,2007,,
MI,48049,2008,,
MI,48049,2009,,
MI,48049,2010,,
MI,48049,2011,,
MI,48049,2012,,
MI,48049,2013,,
MI,48049,2014,,
MI,48049,2015,,
MI,48049,2005,,
MI,48049,2006,,
MI,48049,2007,,
MI,48049,2008,,
MI,48049,2009,,
MI,48049,2010,,
MI,48049,2011,,
MI,48049,2012,,
MI,48049,2013,,
MI,48049,2014,,
MI,48049,2015,,
MI,48050,2005,,
MI,48050,2006,,
MI,48050,2007,,
MI,48050,2008,,
MI,48050,2009,,
MI,48050,2010,,
MI,48050,2011,,
MI,48050,2012,,
MI,48050,2013,,
MI,48050,2014,,
MI,48050,2015,,
MI,48051,2005,,
MI,48051,2006,,
MI,48051,2007,,
MI,48051,2008,,
MI,48051,2009,,
MI,48051,2010,,
MI,48051,2011,,
MI,48051,2012,,
MI,48051,2013,,
MI,48051,2014,,
MI,48051,2015,,
MI,48051,2005,,
