tract,year,tested,BLL_geq_5
18029080500,2014,8,2
18029080500,2015,11,1
18065975600,2005,9,1
18065975600,2006,9,0
18065975600,2007,21,2
18065975600,2008,23,1
18065975600,2009,28,1
18065975600,2010,30,1
18065975600,2011,18,1
18065975600,2012,18,3
18065975600,2013,20,1
18065975600,2014,2,0
18065975600,2015,13,0
18097320600,2005,12,1
18097320600,2006,7,0
18097320600,2007,34,2
18097320600,2008,25,0
18097320600,2009,18,2
18097320600,2010,18,0
18097320600,2011,18,1
18097320600,2012,13,0
18097320600,2013,15,0
18097320600,2014,15,0
18097320600,2015,16,0
18141001200,2005,10,1
18141001200,2006,17,1
18141001200,2007,17,1
18141001200,2008,18,0
18141001200,2009,29,0
18141001200,2010,18,0
18141001200,2011,27,2
18141001200,2012,22,0
18141001200,2013,22,1
18141001200,2014,5,0
18141001200,2015,6,0
18003011100,2005,12,0
18003011100,2006,35,4
18003011100,2007,19,1
18003011100,2008,31,2
18003011100,2009,20,1
18003011100,2010,18,1
18003011100,2011,12,0
18003011100,2012,9,0
18003011100,2013,16,0
18003011100,2014,6,2
18003011100,2015,14,0
18003010900,2005,17,0
18003010900,2006,39,0
18003010900,2007,20,0
18003010900,2008,27,0
18003010900,2009,13,1
18003010900,2010,17,1
18003010900,2011,11,0
18003010900,2012,14,0
18003010900,2013,13,0
18003010900,2014,7,0
18003010900,2015,14,0
18021040600,2005,5,0
18021040600,2006,9,1
18021040600,2007,23,1
18021040600,2008,27,0
18021040600,2009,23,1
18021040600,2010,24,1
18021040600,2011,16,1
18021040600,2012,21,1
18021040600,2013,26,3
18021040600,2014,8,0
18021040600,2015,10,0
18029080600,2005,12,0
18029080600,2006,17,0
18029080600,2007,19,2
18029080600,2008,22,2
18029080600,2009,23,2
18029080600,2010,18,0
18029080600,2011,20,0
18029080600,2012,11,0
18029080600,2013,17,0
18029080600,2014,8,0
18029080600,2015,25,0
18091042600,2005,13,2
18091042600,2006,12,0
18091042600,2007,11,2
18091042600,2008,26,1
18091042600,2009,34,3
18091042600,2010,23,1
18091042600,2011,19,0
18091042600,2012,19,1
18091042600,2013,19,1
18091042600,2014,3,0
18091042600,2015,13,0
18141010500,2005,18,3
18141010500,2006,23,1
18141010500,2007,16,0
18141010500,2008,18,0
18141010500,2009,23,1
18141010500,2010,28,3
18141010500,2011,15,1
18141010500,2012,28,0
18141010500,2013,13,0
18141010500,2014,6,1
18141010500,2015,4,0
18163003400,2005,20,1
18163003400,2006,20,0
18163003400,2007,20,2
18163003400,2008,23,0
18163003400,2009,17,1
18163003400,2010,23,0
18163003400,2011,21,1
18163003400,2012,17,2
18163003400,2013,15,0
18163003400,2014,5,0
18163003400,2015,11,0
18081610604,2005,4,0
18081610604,2006,8,0
18081610604,2007,50,3
18081610604,2008,19,0
18081610604,2009,16,0
18081610604,2010,20,0
18081610604,2011,17,0
18081610604,2012,20,0
18081610604,2013,13,0
18081610604,2014,11,0
18081610604,2015,15,0
18089043002,2005,22,0
18089043002,2006,26,3
18089043002,2007,17,0
18089043002,2008,22,1
18089043002,2009,14,1
18089043002,2010,19,1
18089043002,2011,34,3
18089043002,2012,7,0
18089043002,2013,17,0
18089043002,2014,9,0
18089043002,2015,6,0
18003010400,2005,11,1
18003010400,2006,17,0
18003010400,2007,19,0
18003010400,2008,29,0
18003010400,2009,7,0
18003010400,2010,15,0
18003010400,2011,24,0
18003010400,2012,16,1
18003010400,2013,15,0
18003010400,2014,17,0
18003010400,2015,24,0
18017951100,2005,14,1
18017951100,2006,25,5
18017951100,2007,18,2
18017951100,2008,20,2
18017951100,2009,19,1
18017951100,2010,20,0
18017951100,2011,16,0
18017951100,2012,13,0
18017951100,2013,25,1
18017951100,2014,5,0
18017951100,2015,19,0
18065976300,2005,17,4
18065976300,2006,19,4
18065976300,2007,17,2
18065976300,2008,31,4
18065976300,2009,25,2
18065976300,2010,22,2
18065976300,2011,22,0
18065976300,2012,15,2
18065976300,2013,14,3
18065976300,2014,2,0
18065976300,2015,10,0
18149953700,2005,9,1
18149953700,2006,21,2
18149953700,2007,24,3
18149953700,2008,31,4
18149953700,2009,26,3
18149953700,2010,18,2
18149953700,2011,27,0
18149953700,2012,19,3
18149953700,2013,11,0
18149953700,2014,3,0
18149953700,2015,5,0
18039001100,2005,10,4
18039001100,2006,19,0
18039001100,2007,10,0
18039001100,2008,18,0
18039001100,2009,16,1
18039001100,2010,29,2
18039001100,2011,33,3
18039001100,2012,31,3
18039001100,2013,17,1
18039001100,2014,4,0
18039001100,2015,8,0
18045957900,2005,16,2
18045957900,2006,29,1
18045957900,2007,30,1
18045957900,2008,20,3
18045957900,2009,18,1
18045957900,2010,16,0
18045957900,2011,14,1
18045957900,2012,10,0
18045957900,2013,11,0
18045957900,2014,10,2
18045957900,2015,21,1
18097321900,2005,14,0
18097321900,2006,20,3
18097321900,2007,28,8
18097321900,2008,14,4
18097321900,2009,22,1
18097321900,2010,20,1
18097321900,2011,14,1
18097321900,2012,16,0
18097321900,2013,16,1
18097321900,2014,14,0
18097321900,2015,17,0
18003003700,2005,17,0
18003003700,2006,20,0
18003003700,2007,35,2
18003003700,2008,25,0
18003003700,2009,18,0
18003003700,2010,22,0
18003003700,2011,13,0
18003003700,2012,12,0
18003003700,2013,11,0
18003003700,2014,6,0
18003003700,2015,17,0
18085962400,2005,18,2
18085962400,2006,14,1
18085962400,2007,20,2
18085962400,2008,19,0
18085962400,2009,14,0
18085962400,2010,24,0
18085962400,2011,17,4
18085962400,2012,22,1
18085962400,2013,27,0
18085962400,2014,12,0
18085962400,2015,9,0
18141011201,2005,16,0
18141011201,2006,20,0
18141011201,2007,16,2
18141011201,2008,21,1
18141011201,2009,32,0
18141011201,2010,12,1
18141011201,2011,30,0
18141011201,2012,19,0
18141011201,2013,13,0
18141011201,2014,10,0
18141011201,2015,7,0
18167000300,2005,21,5
18167000300,2006,16,7
18167000300,2007,28,4
18167000300,2008,16,2
18167000300,2009,18,5
18167000300,2010,23,3
18167000300,2011,17,3
18167000300,2012,13,4
18167000300,2013,17,5
18167000300,2014,10,5
18167000300,2015,17,5
18003070400,2005,19,2
18003070400,2006,28,3
18003070400,2007,25,3
18003070400,2008,27,0
18003070400,2009,29,0
18003070400,2010,11,2
18003070400,2011,19,0
18003070400,2012,8,0
18003070400,2013,8,0
18003070400,2014,8,1
18003070400,2015,15,0
18009975400,2005,12,1
18009975400,2006,17,1
18009975400,2007,18,0
18009975400,2008,27,0
18009975400,2009,21,2
18009975400,2010,15,0
18009975400,2011,12,0
18009975400,2012,20,1
18009975400,2013,24,0
18009975400,2014,15,2
18009975400,2015,16,1
18083955500,2005,17,3
18083955500,2006,18,1
18083955500,2007,20,1
18083955500,2008,24,1
18083955500,2009,18,1
18083955500,2010,23,2
18083955500,2011,25,1
18083955500,2012,17,0
18083955500,2013,13,1
18083955500,2014,8,1
18083955500,2015,14,0
18089043403,2005,16,1
18089043403,2006,18,2
18089043403,2007,24,4
18089043403,2008,22,3
18089043403,2009,24,1
18089043403,2010,20,1
18089043403,2011,23,0
18089043403,2012,20,1
18089043403,2013,17,0
18089043403,2014,5,0
18089043403,2015,8,0
18097351600,2005,18,6
18097351600,2006,20,3
18097351600,2007,26,5
18097351600,2008,25,5
18097351600,2009,17,2
18097351600,2010,18,0
18097351600,2011,17,1
18097351600,2012,16,1
18097351600,2013,16,2
18097351600,2014,7,0
18097351600,2015,17,1
18123952400,2005,20,3
18123952400,2006,21,0
18123952400,2007,30,0
18123952400,2008,22,1
18123952400,2009,18,2
18123952400,2010,31,2
18123952400,2011,6,0
18123952400,2012,10,0
18123952400,2013,17,0
18123952400,2014,5,0
18123952400,2015,17,0
18159020400,2005,21,1
18159020400,2006,15,0
18159020400,2007,33,0
18159020400,2008,17,1
18159020400,2009,12,1
18159020400,2010,20,0
18159020400,2011,21,3
18159020400,2012,25,0
18159020400,2013,13,1
18159020400,2014,4,1
18159020400,2015,16,1
18063210104,2005,18,1
18063210104,2006,10,0
18063210104,2007,29,0
18063210104,2008,24,0
18063210104,2009,19,1
18063210104,2010,17,0
18063210104,2011,23,0
18063210104,2012,14,0
18063210104,2013,17,0
18063210104,2014,8,0
18063210104,2015,19,2
18091043000,2005,13,3
18091043000,2006,8,1
18091043000,2007,12,5
18091043000,2008,23,6
18091043000,2009,17,3
18091043000,2010,32,6
18091043000,2011,15,1
18091043000,2012,22,3
18091043000,2013,19,1
18091043000,2014,25,2
18091043000,2015,13,6
18097321800,2005,13,1
18097321800,2006,16,1
18097321800,2007,30,2
18097321800,2008,24,1
18097321800,2009,18,3
18097321800,2010,27,4
18097321800,2011,11,0
18097321800,2012,15,0
18097321800,2013,16,0
18097321800,2014,19,0
18097321800,2015,10,0
18097361000,2005,15,1
18097361000,2006,12,0
18097361000,2007,19,1
18097361000,2008,17,0
18097361000,2009,16,1
18097361000,2010,17,0
18097361000,2011,16,1
18097361000,2012,21,0
18097361000,2013,27,1
18097361000,2014,19,0
18097361000,2015,20,1
18141011405,2005,10,0
18141011405,2006,11,1
18141011405,2007,15,1
18141011405,2008,19,1
18141011405,2009,36,1
18141011405,2010,29,1
18141011405,2011,25,3
18141011405,2012,19,0
18141011405,2013,23,1
18141011405,2014,6,0
18141011405,2015,6,0
18149954200,2005,12,4
18149954200,2006,24,5
18149954200,2007,26,4
18149954200,2008,21,2
18149954200,2009,27,2
18149954200,2010,17,0
18149954200,2011,30,2
18149954200,2012,15,0
18149954200,2013,18,0
18149954200,2014,2,1
18149954200,2015,7,1
18019050606,2005,11,0
18019050606,2006,12,0
18019050606,2007,20,1
18019050606,2008,30,3
18019050606,2009,25,0
18019050606,2010,31,0
18019050606,2011,27,2
18019050606,2012,11,0
18019050606,2013,12,0
18019050606,2014,2,0
18019050606,2015,19,0
18141001900,2005,18,4
18141001900,2006,20,7
18141001900,2007,27,8
18141001900,2008,15,3
18141001900,2009,27,7
18141001900,2010,18,4
18141001900,2011,15,3
18141001900,2012,29,8
18141001900,2013,15,2
18141001900,2014,5,2
18141001900,2015,11,4
18065975700,2005,11,0
18065975700,2006,11,0
18065975700,2007,23,0
18065975700,2008,28,2
18065975700,2009,26,1
18065975700,2010,22,1
18065975700,2011,20,2
18065975700,2012,15,1
18065975700,2013,14,1
18065975700,2014,11,1
18065975700,2015,20,2
18169102300,2005,15,0
18169102300,2006,12,0
18169102300,2007,8,1
18169102300,2008,24,3
18169102300,2009,29,2
18169102300,2010,34,2
18169102300,2011,24,0
18169102300,2012,20,2
18169102300,2013,16,2
18169102300,2014,3,1
18169102300,2015,16,0
18181958200,2005,2,0
18181958200,2006,10,0
18181958200,2007,20,2
18181958200,2008,17,1
18181958200,2009,8,0
18181958200,2010,20,2
18181958200,2011,14,2
18181958200,2012,16,3
18181958200,2013,39,4
18181958200,2014,13,4
18181958200,2015,42,3
18003000100,2005,21,1
18003000100,2006,22,1
18003000100,2007,18,0
18003000100,2008,41,4
18003000100,2009,16,1
18003000100,2010,13,1
18003000100,2011,9,1
18003000100,2012,15,2
18003000100,2013,20,1
18003000100,2014,10,0
18003000100,2015,18,0
18003011608,2005,11,0
18003011608,2006,23,0
18003011608,2007,18,0
18003011608,2008,27,1
18003011608,2009,13,1
18003011608,2010,12,0
18003011608,2011,14,0
18003011608,2012,14,0
18003011608,2013,30,1
18003011608,2014,18,0
18003011608,2015,23,0
18077966600,2005,22,5
18077966600,2006,21,6
18077966600,2007,14,2
18077966600,2008,15,2
18077966600,2009,29,3
18077966600,2010,30,4
18077966600,2011,13,0
18077966600,2012,13,1
18077966600,2013,19,3
18077966600,2014,7,0
18077966600,2015,20,2
18089043300,2005,16,2
18089043300,2006,13,0
18089043300,2007,23,3
18089043300,2008,16,1
18089043300,2009,27,0
18089043300,2010,25,0
18089043300,2011,33,1
18089043300,2012,24,1
18089043300,2013,17,0
18089043300,2014,1,1
18089043300,2015,8,0
18095010400,2005,12,0
18095010400,2006,12,2
18095010400,2007,31,7
18095010400,2008,29,0
18095010400,2009,25,2
18095010400,2010,16,0
18095010400,2011,31,2
18095010400,2012,14,2
18095010400,2013,13,1
18095010400,2014,8,2
18095010400,2015,12,1
18157510200,2005,10,1
18157510200,2006,17,0
18157510200,2007,26,0
18157510200,2008,18,0
18157510200,2009,29,0
18157510200,2010,20,1
18157510200,2011,14,1
18157510200,2012,22,1
18157510200,2013,23,1
18157510200,2014,5,0
18157510200,2015,19,0
18023950300,2005,7,0
18023950300,2006,21,1
18023950300,2007,43,3
18023950300,2008,21,0
18023950300,2009,15,1
18023950300,2010,20,0
18023950300,2011,12,2
18023950300,2012,9,0
18023950300,2013,17,1
18023950300,2014,9,2
18023950300,2015,30,0
18065976700,2005,6,0
18065976700,2006,16,0
18065976700,2007,35,1
18065976700,2008,29,2
18065976700,2009,23,0
18065976700,2010,25,0
18065976700,2011,23,1
18065976700,2012,22,1
18065976700,2013,12,2
18065976700,2014,3,0
18065976700,2015,10,0
18071968000,2005,17,2
18071968000,2006,16,1
18071968000,2007,19,4
18071968000,2008,26,0
18071968000,2009,23,3
18071968000,2010,14,1
18071968000,2011,33,2
18071968000,2012,14,0
18071968000,2013,18,1
18071968000,2014,14,2
18071968000,2015,10,0
18059410400,2005,6,2
18059410400,2006,15,1
18059410400,2007,42,1
18059410400,2008,37,2
18059410400,2009,24,2
18059410400,2010,21,0
18059410400,2011,10,0
18059410400,2012,7,0
18059410400,2013,14,0
18059410400,2014,10,0
18059410400,2015,19,0
18083955700,2005,13,4
18083955700,2006,16,2
18083955700,2007,16,0
18083955700,2008,20,3
18083955700,2009,21,2
18083955700,2010,27,2
18083955700,2011,22,0
18083955700,2012,18,0
18083955700,2013,14,1
18083955700,2014,9,0
18083955700,2015,29,0
18097321002,2005,14,1
18097321002,2006,13,1
18097321002,2007,28,0
18097321002,2008,32,1
18097321002,2009,16,1
18097321002,2010,19,0
18097321002,2011,14,1
18097321002,2012,20,1
18097321002,2013,16,0
18097321002,2014,17,0
18097321002,2015,16,0
18103952200,2005,18,4
18103952200,2006,25,2
18103952200,2007,18,4
18103952200,2008,27,3
18103952200,2009,25,1
18103952200,2010,19,2
18103952200,2011,15,0
18103952200,2012,20,0
18103952200,2013,16,0
18103952200,2014,4,2
18103952200,2015,18,0
18127051002,2005,17,2
18127051002,2006,25,1
18127051002,2007,25,2
18127051002,2008,23,1
18127051002,2009,22,0
18127051002,2010,20,0
18127051002,2011,21,1
18127051002,2012,11,0
18127051002,2013,19,0
18127051002,2014,1,0
18127051002,2015,21,0
18163010404,2005,13,0
18163010404,2006,14,0
18163010404,2007,18,0
18163010404,2008,16,1
18163010404,2009,27,1
18163010404,2010,25,0
18163010404,2011,23,0
18163010404,2012,22,0
18163010404,2013,22,0
18163010404,2014,8,0
18163010404,2015,17,0
18003011201,2005,24,3
18003011201,2006,22,2
18003011201,2007,35,6
18003011201,2008,29,3
18003011201,2009,24,3
18003011201,2010,14,2
18003011201,2011,24,1
18003011201,2012,14,1
18003011201,2013,9,0
18003011201,2014,5,0
18003011201,2015,6,0
18089021300,2005,23,0
18089021300,2006,29,9
18089021300,2007,25,1
18089021300,2008,12,1
18089021300,2009,14,3
18089021300,2010,29,0
18089021300,2011,17,0
18089021300,2012,15,0
18089021300,2013,10,0
18089021300,2014,6,1
18089021300,2015,26,3
18117951500,2005,23,3
18117951500,2006,21,2
18117951500,2007,21,2
18117951500,2008,20,5
18117951500,2009,28,2
18117951500,2010,23,0
18117951500,2011,32,1
18117951500,2012,17,1
18117951500,2013,11,1
18117951500,2014,5,0
18117951500,2015,5,0
18127050604,2005,18,0
18127050604,2006,29,2
18127050604,2007,29,0
18127050604,2008,31,2
18127050604,2009,14,0
18127050604,2010,17,1
18127050604,2011,18,1
18127050604,2012,8,1
18127050604,2013,18,1
18127050604,2014,7,0
18127050604,2015,17,1
18095011300,2005,13,0
18095011300,2006,14,1
18095011300,2007,21,0
18095011300,2008,23,1
18095011300,2009,19,0
18095011300,2010,27,2
18095011300,2011,25,2
18095011300,2012,15,3
18095011300,2013,17,1
18095011300,2014,7,0
18095011300,2015,26,2
18111100400,2005,10,1
18111100400,2006,13,2
18111100400,2007,36,4
18111100400,2008,23,0
18111100400,2009,19,2
18111100400,2010,29,1
18111100400,2011,25,1
18111100400,2012,26,2
18111100400,2013,17,1
18111100400,2014,1,0
18111100400,2015,8,0
18151971000,2005,10,0
18151971000,2006,16,1
18151971000,2007,9,0
